dataset1,dataset2,y_test,y_pred
large_aws/Combo_005.csv,medium/parcel_009.csv,1.0,1.0
real/OSM2015_lakes_data_big_06.csv,real/OSM2015_roads_data_big_02.csv,2.0,2.0
large_aws/Combo_002.csv,medium/parcel_010.csv,2.0,4.0
A32,B32,2.0,2.0
real/OSM2015_roads_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,3.0,3.0
large_aws/Combo_001.csv,medium/bit_010.csv,1.0,1.0
large_aws/Combo_004.csv,medium/uniform_006.csv,4.0,1.0
real/TIGER2018_EDGES_data_big_02.csv,real/TIGER2018_FACES_data_big_10.csv,3.0,3.0
A95,B95,1.0,2.0
large_aws/Combo_001.csv,medium/uniform_001.csv,1.0,1.0
large_aws/Combo_002.csv,medium/bit_007.csv,4.0,1.0
A71,B71,4.0,2.0
real/OSM2015_roads_data_big_01.csv,real/TIGER2018_EDGES_data_big_19.csv,3.0,3.0
A120,B120,4.0,4.0
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_26.csv,3.0,3.0
real/OSM2015_buildings_data_big_15_13.csv,real/OSM2015_lakes_data_big_10.csv,3.0,3.0
real/OSM2015_roads_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,3.0,3.0
large_aws/Combo_006.csv,medium/diagonal_003.csv,2.0,2.0
real/OSM2015_buildings_data_big_15_11.csv,real/OSM2015_lakes_data_big_10.csv,2.0,2.0
large_aws/Combo_002.csv,medium/uniform_003.csv,1.0,1.0
A115,B115,2.0,2.0
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_FACES_data_big_33.csv,2.0,3.0
A279,B279,3.0,3.0
large_aws/Combo_001.csv,medium/gaussian_001.csv,1.0,1.0
large_aws/Combo_004.csv,medium/parcel_010.csv,2.0,1.0
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_27.csv,3.0,3.0
large_aws/Combo_005.csv,medium/gaussian_002.csv,1.0,1.0
real/OSM2015_buildings_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,3.0,3.0
real/TIGER2018_EDGES_data_big_17.csv,real/TIGER2018_FACES_data_big_19.csv,2.0,3.0
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_09.csv,3.0,3.0
large_aws/Combo_004.csv,medium/parcel_003.csv,1.0,1.0
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_27.csv,3.0,3.0
real/OSM2015_lakes_data_big_13.csv,real/OSM2015_roads_data_big_17.csv,3.0,3.0
real/TIGER2018_EDGES_data_big_22.csv,real/TIGER2018_FACES_data_big_32.csv,3.0,3.0
large_aws/Combo_004.csv,medium/gaussian_010.csv,1.0,1.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_11.csv,3.0,3.0
A232,B232,2.0,2.0
large_aws/Combo_005.csv,medium/bit_010.csv,1.0,1.0
large_aws/Combo_003.csv,medium/gaussian_003.csv,1.0,1.0
A218,B218,2.0,2.0
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_03.csv,3.0,3.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,2.0,2.0
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_11.csv,3.0,3.0
large_aws/Combo_003.csv,medium/gaussian_001.csv,1.0,1.0
large_aws/Combo_001.csv,medium/diagonal_008.csv,1.0,1.0
real/OSM2015_roads_data_big_13.csv,real/OSM2015_buildings_data_big_15_06.csv,2.0,3.0
real/OSM2015_roads_data_big_03.csv,real/TIGER2018_EDGES_data_big_17.csv,3.0,3.0
A263,B263,2.0,2.0
large_aws/Combo_007.csv,medium/diagonal_001.csv,1.0,1.0
large_aws/Combo_003.csv,medium/diagonal_002.csv,1.0,1.0
real/OSM2015_lakes_data_big_05.csv,real/OSM2015_roads_data_big_01.csv,3.0,3.0
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_FACES_data_big_18.csv,3.0,3.0
A60,B60,2.0,2.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_22.csv,2.0,3.0
large_aws/Combo_004.csv,medium/diagonal_006.csv,1.0,1.0
A11,B11,2.0,2.0
A256,B256,2.0,2.0
large_aws/Combo_003.csv,medium/diagonal_008.csv,1.0,1.0
real/TIGER2018_EDGES_data_big_02.csv,real/TIGER2018_FACES_data_big_02.csv,1.0,3.0
A105,B105,1.0,2.0
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_32.csv,3.0,3.0
A193,B193,2.0,2.0
large_aws/Combo_005.csv,medium/diagonal_005.csv,1.0,1.0
large_aws/Combo_004.csv,medium/uniform_009.csv,1.0,1.0
A237,B237,2.0,2.0
A31,B31,2.0,2.0
large_aws/Combo_005.csv,medium/bit_003.csv,2.0,2.0
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_15.csv,3.0,3.0
A55,B55,2.0,2.0
A24,B24,2.0,2.0
A275,B275,2.0,2.0
large_aws/Combo_004.csv,medium/uniform_007.csv,1.0,1.0
A4,B4,2.0,2.0
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_17.csv,3.0,3.0
large_aws/Combo_004.csv,medium/bit_004.csv,1.0,1.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_03.csv,3.0,3.0
large_aws/Combo_001.csv,medium/parcel_002.csv,1.0,1.0
real/OSM2015_buildings_data_big_15_11.csv,real/OSM2015_parks_data_big_08.csv,3.0,3.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_14.csv,3.0,3.0
large_aws/Combo_006.csv,medium/parcel_008.csv,1.0,1.0
real/OSM2015_lakes_data_big_11.csv,real/OSM2015_parks_data_big_08.csv,3.0,3.0
real/OSM2015_parks_data_big_12.csv,real/OSM2015_roads_data_big_13.csv,2.0,3.0
real/OSM2015_parks_data_big_07.csv,real/OSM2015_buildings_data_big_15_06.csv,2.0,3.0
large_aws/Combo_003.csv,medium/bit_008.csv,2.0,2.0
large_aws/Combo_003.csv,medium/bit_002.csv,1.0,1.0
A234,B234,2.0,2.0
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_FACES_data_big_11.csv,3.0,3.0
real/OSM2015_lakes_data_big_14.csv,real/OSM2015_buildings_data_big_22.csv,3.0,3.0
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_FACES_data_big_04.csv,3.0,3.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_15.csv,2.0,3.0
A40,B40,4.0,4.0
A250,B250,3.0,3.0
large_aws/Combo_006.csv,medium/parcel_004.csv,2.0,1.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_02.csv,3.0,3.0
real/OSM2015_lakes_data_big_14.csv,real/OSM2015_parks_data_big_13.csv,3.0,3.0
A67,B67,2.0,2.0
